Address,Count
71 PRINCE ARTHUR AVE,291
CRAWFORD ST,291
166 PEARL ST,291
31 ST JOSEPH ST,291
525 WILSON AVE,291
3121 SHEPPARD AVE E,290
20 BRANT ST,290
30 NIAGARA ST,289
1603 EGLINTON AVE W,289
670 PAPE AVE,289
605 FINCH AVE W,289
100 ALEXANDER ST,288
95 WOOD ST,288
99 HOWARD ST,288
22 NORTHCOTE AVE,288
227 VICTORIA ST,288
700 KING ST W,287
WINNERS CRCL,287
27 GROSVENOR ST,287
ULSTER ST,286
44 VICTORIA ST,286
3 LEONARD AVE,285
236 FRONT ST E,285
941 PROGRESS AVE,285
72 AMROTH AVE,285
1501 YONGE ST,285
140 YORKVILLE AVE,284
565 SHERBOURNE ST,284
20 VANAULEY ST,284
1060 SHEPPARD AVE W,284
3010 BLOOR ST W,284
50 CHARLES ST E,283
70 CLEARVIEW HTS,283
1137 ROYAL YORK RD,283
50 BRIAN HARRISON WAY,283
430 RONCESVALLES AVE,282
ARMOURY ST,282
600 SHERBOURNE ST,282
1245 DUPONT ST,282
36 VIA BAGNATO,282
628 FLEET ST,282
530 ADELAIDE ST W,282
POLSON ST,282
DUNCAN ST,281
BOND ST,281
128 CUMBERLAND ST,281
123 EDWARD ST,281
415 WILLOWDALE AVE,281
122 MARINE PARADE DR,281
32 FOREST MANOR RD,280
150 MUTUAL ST,280
178 JARVIS ST,280
3680 KEELE ST,279
SUNNYSIDE AVE,279
1153 QUEEN ST W,279
120 PARLIAMENT ST,279
105 BOND ST,278
50 CUMBERLAND ST,278
BAYVIEW AVE,278
55 EAST LIBERTY ST,278
DEVONSHIRE PL,278
17 HAYDEN ST,278
30 OKRA TOMAR CRES,278
1855 JANE ST,277
100 YORKVILLE AVE,277
85 LEE AVENUE,277
2756 OLD LESLIE ST,276
135 OSSINGTON AVE,276
85 EMMETT AVE,276
87 RICHMOND ST. EAST,276
200 WOOLNER AVE,276
3400 EGLINTON AVE E,276
55 EMMETT AVE,276
275 YORKLAND BLVD,276
70 MILL ST,275
935 EGLINTON AVENUE WEST,275
420 WELLINGTON ST W,275
MELINDA ST,274
110 CHARLES ST W,274
JONES AVE,274
55 FOREST MANOR RD,273
123 SUNNYSIDE AVE,273
67 YONGE ST,273
100 COSBURN AVE,273
1021 BIRCHMOUNT RD,273
195 REDPATH AVE,273
451 RICHMOND ST W,273
25 FERRIER AVENUE,272
701 DON MILLS RD,272
5095 YONGE ST,272
17 RIVERVIEW GARDENS,271
1 JILLSON AVE,271
BLEECKER ST,270
65 LILLIAN ST,270
1 LOMBARD ST,270
88 YORKVILLE AVE,270
30 FALSTAFF AVE,270
25 LEONARD AVE,269
113 BOND ST,269
NORTHERN DANCER BLVD,269
21 CARLTON ST,269
1029 KING ST W,269
2900 JANE ST,269
180 UPPER MADISON AVE,268
123 MUTUAL ST,268
300 JARVIS ST,267
552 ADELAIDE ST W,267
11 GRENVIEW BOULEVARD,267
508 WELLINGTON ST W,266
90 EGLINTON AVE W,266
GRAYDON HALL PL,266
205 MCCAUL ST,266
21 MARKBROOK LN,266
41 MABELLE AVE,266
591 QUEEN ST W,266
REDPATH AVE,266
240 MC CAUL ST,266
43 ELM ST,265
18 YONGE ST,265
3 MICHAEL POWER PLACE,265
141 ROEHAMPTON AVE,265
800 KING ST W,265
99 YORKVILLE AVE,264
5100 YONGE ST,264
661 GERRARD STREET EAST,264
322 QUEEN ST W,264
117 PEMBROKE ST,263
200 CHURCH ST,263
20 RICHARDSON ST,263
1200 LANSDOWNE AVE,263
121 HUMBER BLVD,263
17 ST ANDREW ST,263
UNIVERSITY AVE,263
PARK HOME AVE,262
DOVERCOURT RD,262
2760 OLD LESLIE STREET,262
730 ONTARIO ST,262
650 MOUNT PLEASANT ROAD,262
830 LAWRENCE AVE W,261
38 LEE CENTRE DR,261
15 SCADDING AVE,261
900 QUEENS PLATE DR,261
220 VICTORIA ST,261
382 YONGE ST,261
3 MC ALPINE ST,261
610 QUEEN ST W,261
87 ELM ST,260
20 ALBERT ST,260
50 MC CAUL ST,260
80 COOPERAGE ST,260
104 GOODWOOD PARK CRT,260
550 UNIVERSITY AVE,259
3559 EGLINTON AVE W,259
47 THORNCLIFFE PARK DR,259
251 MACPHERSON AVE.,259
761 QUEEN ST W,259
34 GLENDALE AVE,259
181 BEDFORD RD,259
15 LEGION RD,258
MORRISON ST,258
268 RHODES AVE.,258
234 ALBION RD,258
255 BREMNER BLVD,258
2170 BAYVIEW AVENUE,258
111 RAGLAN AVE,257
5155 SHEPPARD AVE E,257
260 WELLESLEY ST E,257
100 ROEHAMPTON AVE,256
RAMSDEN PARK RD,256
560 FRONT ST W,256
1445 BATHURST ST,256
186 SPADINA AVE,256
33 BAY ST,255
61 QUEEN ST E,254
5 MARINER TER,254
735 COLLEGE ST,254
55 ST GEORGE ST,254
80 BLUE JAYS WAY,254
105 THE QUEENSWAY,254
1 SELBY ST,253
